縣市,天氣現象,舒適度,降雨機率(%)
嘉義縣,晴時多雲,寒冷至稍有寒意,降雨機率16%
新北市,陰短暫雨,非常寒冷至寒冷,降雨機率12%
嘉義市,多雲,非常寒冷至稍有寒意,降雨機率16%
新竹縣,陰天,非常寒冷至寒冷,降雨機率11%
新竹市,陰天,非常寒冷至寒冷,降雨機率11%
臺北市,陰天,非常寒冷至寒冷,降雨機率12%
臺南市,多雲時陰,寒冷至稍有寒意,降雨機率17%
宜蘭縣,陰天,非常寒冷至寒冷,降雨機率13%
苗栗縣,多雲時晴,非常寒冷至寒冷,降雨機率11%
雲林縣,晴時多雲,非常寒冷至寒冷,降雨機率15%
花蓮縣,陰天,寒冷,降雨機率15%
臺中市,晴時多雲,非常寒冷至寒冷,降雨機率15%
臺東縣,陰天,寒冷至稍有寒意,降雨機率18%
桃園市,陰短暫雨,非常寒冷至寒冷,降雨機率11%
南投縣,多雲時晴,非常寒冷至稍有寒意,降雨機率16%
高雄市,陰天,寒冷至稍有寒意,降雨機率20%
金門縣,多雲,非常寒冷至寒冷,降雨機率10%
屏東縣,陰天,寒冷至稍有寒意,降雨機率21%
基隆市,陰短暫雨,非常寒冷至寒冷,降雨機率11%
澎湖縣,晴時多雲,寒冷,降雨機率13%
彰化縣,晴時多雲,寒冷,降雨機率14%
連江縣,陰時多雲,非常寒冷,降雨機率6%
